width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,slope,elevation_min,elevation_max,elevation_range,elevation_mean,relative_elevation_mean,relative_elevation_max,slope_r_mean,slope_r_max,local_slope_mean,local_slope_max,curvature_mean,curvature_max,local_curvature_mean,local_curvature_max,dist_along_range,channel_dist_along,ridge1_dist_along,floodplain1_dist_along,ridge2_dist_along,floodplain2_dist_along,channel_elevation,ridge1_elevation,floodplain1_elevation,ridge2_elevation,floodplain2_elevation,reach_id,node_id,discharge_value,corrected_discharge,XGB_depth,floodplain1_dist_to_river_center,floodplain2_dist_to_river_center,ridge1_slope,ridge2_slope,gamma1,gamma2,gamma_mean,a_b_1,a_b_2,a_b,corrected_denominator,superelevation1,superelevation2,superelevation_mean,lambda_original,single_side_measurement,geometry,river_name,median_ortho_height,wse_is2,interpolated_wse,lower_ridge,is_reflected,partial_data_flag,lambda,lambda_diff,has_measurement
67.0,3.5555555555555554,1.5659030410469683,67.0,122098,1.0,1.0,7405.808189339122,1765.6337514032823,0.0003305314466095,6.65,18.03,11.38,9.366383928571429,2.7163839285714286,11.38,0.0146098654708771,0.2406666666676844,0.0002242152466252,0.1600000000004535,8.508508514146152e-07,0.0069222222222822,-8.508508518518163e-07,0.0113888888889765,6690.000000000244,3376.9681290323806,3460.5283870968997,3669.4290322581983,,,7.0,9.245583655914858,7.879717204299974,,,61302000051,61302000050091,528.803,2823.532026235184,12.3061905,292.4609032258177,,0.006538354364688,,19.78133830156464,,19.78133830156464,0.1625842405611068,,0.1625842405611068,12.3061905,0.1109901924250957,,0.1109901924250957,2.195534555026521,True,POINT (-8049216.502787228 1011763.962718126),VENEZ_2023,,,7.244791019272051,9.245583655914858,False,True,2.195534544516575,-1.0509946246628488e-08,True
67.0,37.55555555555557,1.4102141704351876,67.0,123296,1.0,1.0,7400.141198909384,1973.435053791021,0.0003305314466095,7.0,14.63,7.630000000000001,8.6321875,1.6321875,7.630000000000001,0.0054947683109128,0.2289999999999652,4.7832585947685634e-05,0.2289999999999652,-5.005005002998199e-08,0.007633333333331,5.00500499943579e-08,0.007633333333331,6690.0000000000755,3307.3345806451975,3126.287354838744,2457.8052903226076,,,7.0,9.242754795698673,8.12,,,61302000051,61302000050151,528.803,2823.532026235184,12.3061905,849.52929032259,,0.0016795585904489,,5.081388193702538,,5.081388193702538,0.1436154410017235,,0.1436154410017235,12.3061905,0.0912349598113789,,0.0912349598113789,0.4636002483319784,True,POINT (-8049254.367145413 1011155.1800386908),VENEZ_2023,,,7.475395819989952,9.242754795698673,False,True,0.4636002476384666,-6.935117480288965e-10,True
84.0,0.0,1.4102141704351876,84.0,123710,1.0,1.0,7398.252202099471,1973.435053791021,0.0003305314466095,7.0,12.45,5.449999999999999,8.871214285714286,1.8712142857142855,5.449999999999999,0.0079127837514868,0.1549999999989615,-5.973715640327531e-06,0.0956666666660256,5.075939248439561e-06,0.0049888888888188,-5.795363708380625e-06,0.0051666666665974,8370.000000000253,4190.1480000001275,4033.332000000122,3684.852000000112,4346.964000000132,4782.564000000145,7.0,9.91663600000583,8.93857999999984,9.714047999999728,8.925128000000637,61302000051,61302000050171,528.803,2823.532026235184,10.651687,505.2960000000153,592.4160000000174,0.0028066345190522,0.0018111111069512,8.491278357451094,5.479391221407548,6.985334789429321,0.2217065432586012,0.202687208574236,0.2121968759164186,10.651687,0.0918216992299896,0.0740652630892262,0.0829434811596079,0.5793879860327819,False,POINT (-8049604.989135446 1010946.1444974793),VENEZ_2023,,,7.55508729536325,9.714047999999728,False,False,0.5793879845005848,-1.5321970359138959e-09,True
52.5,404.0,1.4102141704351876,52.5,124098,1.0,1.0,7396.520621690384,1973.435053791021,0.0003305314466095,6.66,12.26,5.6,8.584742857142857,1.9247428571428569,5.6,0.0058333333333315,0.1536666666685231,0.0002203065134286,0.1536666666685231,1.0276172117099288e-06,0.0051222222223459,-1.0276172120139035e-06,0.0051222222223459,5220.000000000209,2678.410064516237,2450.2118709678407,1417.8867096774766,,,7.0,9.76,7.647371096774244,,,61302000051,61302000050191,528.803,2823.532026235184,10.718793,1260.5233548387605,,0.0020464762270625,,6.191472091550657,,6.191472091550657,0.1987374891846577,,0.1987374891846577,10.718793,0.1970957833802514,,0.1970957833802514,1.220313043343242,True,POINT (-8049909.135964375 1010727.1872058548),VENEZ_2023,7.954998808120128,7.954998808120128,7.629773992089915,9.76,False,True,1.2203130421611406,-1.1821015277746483e-09,True
84.0,23.04,1.3461412992690258,84.0,124495,1.0,1.0,7394.789041281299,1893.342572970496,0.0003305314466095,7.0,17.3,10.3,9.489893238434163,2.489893238434164,10.3,0.0112345238095202,0.2473333333337588,0.0003845238095092,0.2310000000003992,1.473516527178098e-06,0.0067333333333566,1.4735165271810625e-06,0.0080222222222498,8400.000000000104,4205.166451612956,4100.2477419355355,3872.923870967791,4275.11225806457,5271.8400000000665,7.0,9.74975225806466,9.126101505376,11.709476129031852,8.999120000000008,61302000051,61302000050211,528.803,2823.532026235184,10.651687,332.2425806451647,1066.6735483871107,0.002743445935925,0.0027192542278892,8.300105675470759,8.226915338260826,8.263510506865792,0.1918539166362689,0.375836404195957,0.2838451604161129,10.651687,0.0585494816632012,0.2544532268955935,0.1565013542793974,1.2932505889295094,False,POINT (-8049707.286207229 1010407.9215201625),VENEZ_2023,9.663073488563963,9.663073488563963,7.706184388331031,9.74975225806466,False,False,1.2932505854265262,-3.5029832368138614e-09,True
63.0,103.55102040816328,1.0898498146043785,63.0,124925,1.0,1.0,7393.057460872212,1572.9726496883973,0.0003305314466095,6.16,16.17,10.010000000000002,8.752761904761904,2.5927619047619044,10.010000000000002,0.0080797448166046,0.1276666666689424,0.0005741626794375,0.1276666666689424,-2.670940164724768e-07,0.0041333333334806,2.67094017498677e-07,0.0041333333334806,6270.000000000115,3178.0135483871545,3021.3849032258613,2303.503612903268,,,7.0,10.038411311827948,7.69433092473115,,,61302000051,61302000050231,528.803,2823.532026235184,10.651219,874.5099354838867,,0.0032652757711211,,9.87886570132858,,9.87886570132858,0.2111940534586332,,0.2111940534586332,10.651219,0.220076254849027,,0.220076254849027,2.1741037687334006,True,POINT (-8049504.959148857 1010039.7681023461),VENEZ_2023,8.45613108280019,8.45613108280019,7.788937196942339,10.038411311827948,False,True,2.1741037657049,-3.02850056144166e-09,True
83.5,169.55555555555554,1.0898498146043785,83.5,125316,1.0,1.0,7391.011047661473,1572.972649688397,0.0003305314466095,6.79,15.06,8.27,8.923010752688173,2.1330107526881723,8.27,0.0075539568345272,0.1186666666659399,0.0002613908873032,0.1186666666659399,2.807862006581636e-07,0.0039555555555071,2.807862020307068e-07,0.0041777777777188,8340.000000000146,4140.406451612976,4018.8756129032954,2282.720774193588,4279.298838709752,5407.799483871062,7.0,9.914378064517017,7.631813849462576,10.697896516129283,7.813203096774642,61302000051,61302000050251,528.803,2823.532026235184,10.689712,1857.6856774193875,1267.3930322580864,0.0013147238730366,0.0025562177825658,3.9776060236407336,7.733659864399793,5.855632944020263,0.1917914950838941,0.2650879928391439,0.228439743961519,10.689712,0.2135290656150924,0.2698569820547682,0.2416930238349303,1.4152656338127234,False,POINT (-8049496.050734437 1009657.7776858916),VENEZ_2023,9.843596782142503,9.843596782142503,7.8641822180207726,9.914378064517017,False,False,1.415265632707693,-1.1050307335835894e-09,True
84.0,48.47222222222222,1.3122734168607817,84.0,126326,1.0,1.0,7386.288555636692,1345.9276490748275,0.0003305314466095,6.5,18.05,11.55,9.614555160142348,3.114555160142349,11.55,0.0071761904762035,0.2013333333332723,0.000554761904757,0.1719999999999478,1.1947431362645614e-07,0.0057333333333298,1.1947431274737737e-07,0.0067111111110873,8400.000000000093,4152.70709677424,3960.3561290323023,2561.440000000029,4502.436129032309,4659.81419354844,7.0,11.21433032257925,7.1052533333330015,10.339698924732431,9.950371612902972,61302000051,61302000050301,528.803,2823.532026235184,10.651687,1591.267096774211,507.1070967741998,0.0029373290514217,0.0024738346513069,8.886685613583923,7.484415406409439,8.18555050999668,0.2962672152339344,0.2141552082019197,0.2552112117179271,10.651687,0.3857677182258781,0.0365507653228507,0.2111592417743644,1.7284546448884022,False,POINT (-8049179.229907306 1009122.7741896419),VENEZ_2023,13.523019065189027,13.523019065189027,8.058584677545749,10.339698924732431,False,False,1.728454639196661,-5.691741078450718e-09,True
94.0,28.583333333333332,1.3122734168607817,94.0,126703,1.0,1.0,7384.399558826779,1345.9276490748275,0.0003305314466095,7.0,12.32,5.32,8.766656050955413,1.766656050955414,5.32,0.0055335463258805,0.1400000000011586,8.945686899871732e-05,0.1180000000009765,4.273504279225555e-07,0.0043888888889615,4.2735042646039315e-07,0.0046666666666011,9389.999999999569,4700.775354838494,4583.491225806242,2511.4716129031112,4837.606838709456,6968.268516128713,7.0,10.811146150527982,7.302842795699006,10.470142451612642,7.580706795699294,61302000051,61302000050321,528.803,2823.532026235184,10.505183,2189.303741935383,2267.4931612902183,0.0016931805718867,0.0013561212862555,5.122600555120802,4.102851030261338,4.612725792691069,0.2551098760937438,0.2226493564706834,0.2388796162822136,10.505183,0.3339592803694115,0.275048578964626,0.3045039296670188,1.4045931310204334,False,POINT (-8049115.045958264 1008768.8987899137),VENEZ_2023,,,8.131170217055878,10.470142451612642,False,False,1.4045931303508448,-6.695886067831225e-10,True
71.0,327.8055555555556,1.0417731994791362,71.0,127111,1.0,1.0,7382.510562016867,1383.3351324533703,0.0003305314466095,7.0,18.79,11.79,9.19565400843882,2.1956540084388187,11.79,0.0076398305084445,0.309666666661231,7.768361583855894e-05,0.1703333333303434,6.619385328573217e-07,0.0103222222218598,6.619385356080575e-07,0.0103222222221604,7079.999999999911,3559.0931612902777,3662.263225806405,4635.009548387038,,,7.0,11.31,9.169987268817298,,,61302000051,61302000050341,528.803,2823.532026235184,11.534114,1075.9163870967604,,0.0021999700017425,,6.655856876279668,,6.655856876279668,0.2687918353520378,,0.2687918353520378,11.534114,0.1855376781591288,,0.1855376781591288,1.234912232253913,True,POINT (-8049306.926008948 1008403.6880545135),VENEZ_2023,,,8.209724328780366,11.31,False,True,1.2349122309844018,-1.269511162860226e-09,True
